Amount,AmountOfSecurityOwned,CIK,Company,OwnershipForm,Price,SecuritiesAcquirednDisposed,Ticker,TitleOfSecurity,TransactionCode,TransactionDate
"2,690","1,793,621",12208,"BIO-RAD LABORATORIES, INC.",I,0,D,"BIO, BIOB",Bio-Rad A Common Stock,G,12/03/2019
,90,12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
,240,12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
,"898,931",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
,"34,311",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
240,"438,680",12208,"BIO-RAD LABORATORIES, INC.",I,0,D,"BIO, BIOB",Bio-Rad B Common Stock,G,12/03/2019
,"57,000",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad B Common Stock,,
,"4,060,054",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad B Common Stock,,
,150,1067983,BERKSHIRE HATHAWAY INC,I,,,BRK.A,Class B Common Stock,,
,"197,695",1067983,BERKSHIRE HATHAWAY INC,I,,,BRK.A,Class B Common Stock,,
9,697,1067983,BERKSHIRE HATHAWAY INC,D,,D,BRK.A,Class B Common Stock,G,12/27/2019
,"1,818.0335",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
,"362,146",12208,"BIO-RAD LABORATORIES, INC.",D,,,"BIO, BIOB",Bio-Rad A Common Stock,,
40,"25,039",12208,"BIO-RAD LABORATORIES, INC.",D,0,A,"BIO, BIOB",Bio-Rad B Common Stock,G,12/03/2019
40,"12,811",12208,"BIO-RAD LABORATORIES, INC.",I,0,A,"BIO, BIOB",Bio-Rad B Common Stock,G,12/03/2019
,"4,060,054",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad B Common Stock,,
659,"130,648",842023,BIO-TECHNE Corp,D,67.46,A,TECH,Common Stock,M,12/23/2019
659,"129,989",842023,BIO-TECHNE Corp,D,222.0802,D,TECH,Common Stock,S,12/23/2019
471,"130,460",842023,BIO-TECHNE Corp,D,67.46,A,TECH,Common Stock,M,12/24/2019
471,"129,989",842023,BIO-TECHNE Corp,D,222.1834,D,TECH,Common Stock,S,12/24/2019
,100,842023,BIO-TECHNE Corp,I,,,TECH,Common Stock,,
,100,842023,BIO-TECHNE Corp,I,,,TECH,Common Stock,,
498,"710,823",842717,"BLUE RIDGE BANKSHARES, INC.",D,20.65,A,BRBS,Common Stock,P,12/24/2019
"2,002","712,825",842717,"BLUE RIDGE BANKSHARES, INC.",D,20.71,A,BRBS,Common Stock,P,12/24/2019
,"4,892",842717,"BLUE RIDGE BANKSHARES, INC.",I,,,BRBS,Common Stock,,
,"415,182",12208,"BIO-RAD LABORATORIES, INC.",D,,,"BIO, BIOB",Bio-Rad A Common Stock,,
40,"279,982",12208,"BIO-RAD LABORATORIES, INC.",D,0,A,"BIO, BIOB",Bio-Rad B Common Stock,G,12/03/2019
40,"12,811",12208,"BIO-RAD LABORATORIES, INC.",I,0,A,"BIO, BIOB",Bio-Rad B Common Stock,G,12/03/2019
,"4,060,054",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad B Common Stock,,
29,"17,321",1078543,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
"2,500","19,884",834365,BIOLIFE SOLUTIONS INC,D,1.64,A,BLFS,Common Stock,M,12/24/2019
"2,500","17,384",834365,BIOLIFE SOLUTIONS INC,D,16.4,D,BLFS,Common Stock,S,12/24/2019
"2,500","19,884",834365,BIOLIFE SOLUTIONS INC,D,1.64,A,BLFS,Common Stock,M,12/26/2019
"2,500","17,384",834365,BIOLIFE SOLUTIONS INC,D,16.51,D,BLFS,Common Stock,S,12/26/2019
"2,500","19,884",834365,BIOLIFE SOLUTIONS INC,D,1.64,A,BLFS,Common Stock,M,12/27/2019
"2,500","17,384",834365,BIOLIFE SOLUTIONS INC,D,16.61,D,BLFS,Common Stock,S,12/27/2019
"73,698","11,532,467",1300699,"Athenex, Inc.",I,14.39,A,ATNX,Common Stock,P,12/24/2019
"10,000","265,799",1628738,"Audentes Therapeutics, Inc.",D,59.5993,D,BOLD,Common Stock,S,12/23/2019
"1,000","13,678",1628738,"Audentes Therapeutics, Inc.",I,59.5963,D,BOLD,Common Stock,S,12/23/2019
,"32,343",1628738,"Audentes Therapeutics, Inc.",I,,,BOLD,Common Stock,,
,"3,555",1628738,"Audentes Therapeutics, Inc.",I,,,BOLD,Common Stock,,
"4,176","264,579",1200836,WASHINGTON FEDERAL INC,D,0,D,WAFD,Common Stock,G,12/27/2019
,"20,607",1200836,WASHINGTON FEDERAL INC,I,,,WAFD,Common Stock,,
"31,104","43,716",1755174,MOMENTA PHARMACEUTICALS INC,D,20,D,MNTA,Common Stock,S,12/24/2019
"30,000,000","51,008,238",1525852,"mCig, Inc.",D,0.0416,D,MCIG,Common Stock,S,10/22/2019
"4,000,000","47,008,238",1525852,"mCig, Inc.",D,0.0362,D,MCIG,Common Stock,S,10/29/2019
"2,000,000","45,008,238",1525852,"mCig, Inc.",D,0.0362,D,MCIG,Common Stock,S,10/29/2019
"3,000","8,608",1137883,BRAINSTORM CELL THERAPEUTICS INC.,D,3.9,A,BCLI,Common Stock,P,12/24/2019
"5,000","228,908",1614178,"Yext, Inc.",D,14.524,D,YEXT,Common Stock,S,12/26/2019
"2,000","287,749",1713683,"Zscaler, Inc.",I,48,D,ZS,Common Stock,S,12/26/2019
,"126,748",1713683,"Zscaler, Inc.",D,,,ZS,Common Stock,,
,"566,702",1713683,"Zscaler, Inc.",I,,,ZS,Common Stock,,
300,"96,396",1608249,"Zayo Group Holdings, Inc.",D,34.6,D,ZAYO,Common Stock,S,12/20/2019
100,"96,296",1608249,"Zayo Group Holdings, Inc.",D,34.6,D,ZAYO,Common Stock,S,12/23/2019
"20,000","22,396",1737521,SMARTSHEET INC,D,2.72,A,SMAR,Class A Common Stock,M,12/26/2019
"20,000","2,396",1737521,SMARTSHEET INC,D,44.5,D,SMAR,Class A Common Stock,S,12/26/2019
"4,000","138,468",1754480,"Allegiance Bancshares, Inc.",D,37.4902,D,ABTX,Common Stock,S,12/26/2019
"4,000","134,468",1754480,"Allegiance Bancshares, Inc.",D,37.3724,D,ABTX,Common Stock,S,12/27/2019
,"3,492",1754480,"Allegiance Bancshares, Inc.",I,,,ABTX,Common Stock,,
"136,250","2,006,508",1690696,"CONSTELLATION BRANDS, INC.",I,,D,STZ,Class A Common Stock,J,12/24/2019
,"1,852,994",1690696,"CONSTELLATION BRANDS, INC.",I,,,STZ,Class A Common Stock,,
,"250,000",1690696,"CONSTELLATION BRANDS, INC.",I,,,STZ,Class A Common Stock,,
,"183,432",1690696,"CONSTELLATION BRANDS, INC.",I,,,STZ,Class A Common Stock,,
,"1,190,908",1690696,"CONSTELLATION BRANDS, INC.",I,,,STZ,Class A Common Stock,,
"35,599","206,552",1595111,"Eloxx Pharmaceuticals, Inc.",D,0,A,ELOX,Common Stock,M,12/26/2019
"15,806","190,746",1595111,"Eloxx Pharmaceuticals, Inc.",D,7.26,D,ELOX,Common Stock,F,12/26/2019
"1,639,344","5,252,676",1399122,CytoDyn Inc.,I,,A,CYDY,Common Stock,A,12/23/2019
,"2,429,486",1399122,CytoDyn Inc.,I,,,CYDY,Common Stock,,
"8,668.65",0,1490448,"Global Net Lease, Inc.",I,0,D,GNL,Common Stock,D,12/27/2019
,"22,018",1490448,"Global Net Lease, Inc.",D,,,GNL,Common Stock,,
"483,800","883,800",1646479,GRAN TIERRA ENERGY INC.,I,1.24,A,GTE,Common Stock,P,12/24/2019
,"427,600",1646479,GRAN TIERRA ENERGY INC.,D,,,GTE,Common Stock,,
"24,000","4,946,327",1222526,SIMULATIONS PLUS INC,D,34.25,D,SLP,"Simulations Plus, Inc. common stock",S,12/27/2019
,"100,210",1195344,WEYCO GROUP INC,D,,,WEYS,Common Stock,,
,"198,144",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"198,144",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"261,310",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"261,310",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"57,398",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"45,159",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"86,896",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"235,638",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"719,018",106532,WEYCO GROUP INC,D,,,WEYS,Common Stock,,
"70,000","4,970,327",1222526,SIMULATIONS PLUS INC,D,32.57,D,SLP,"Simulations Plus, Inc. common stock",G,12/27/2019
,"7,287",106532,WEYCO GROUP INC,D,,,WEYS,Common Stock,,
,"5,759",106532,WEYCO GROUP INC,D,,,WEYS,Common Stock,,
,"100,000",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"75,623",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"150,000",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"100,000",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"100,000",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"86,896",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"67,522",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"260,496",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"57,398",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"125,444",106532,WEYCO GROUP INC,D,,,WEYS,Common Stock,,
,"30,300",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"21,334",106532,WEYCO GROUP INC,D,,,WEYS,Common Stock,,
26,"13,470",1217667,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
,"198,144",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"198,144",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"164,477",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"261,310",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"261,310",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"77,688",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"2,350",106532,WEYCO GROUP INC,D,,,WEYS,Common Stock,,
715,"20,890",1244921,MAGELLAN HEALTH INC,D,60.39,A,MGLN,,X,12/26/2019
742,"21,632",1244921,MAGELLAN HEALTH INC,D,63.95,A,MGLN,,X,12/26/2019
466,"22,098",1244921,MAGELLAN HEALTH INC,D,64.87,A,MGLN,,X,12/26/2019
"1,923","20,175",1244921,MAGELLAN HEALTH INC,D,78.5163,D,MGLN,,S,12/26/2019
,"2,350",106532,WEYCO GROUP INC,D,,,WEYS,Common Stock,,
,"225,504",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
,"20,000",106532,WEYCO GROUP INC,I,,,WEYS,Common Stock,,
"18,527","18,527",1592386,"Virtu Financial, Inc.",D,,A,VIRT,Class A common stock,M,12/26/2019
"7,157","11,370",1592386,"Virtu Financial, Inc.",D,,D,VIRT,Class A common stock,F,12/26/2019
"1,876","63,987",1592386,"Virtu Financial, Inc.",D,,A,VIRT,Class A common stock,M,12/26/2019
919,"63,068",1592386,"Virtu Financial, Inc.",D,,D,VIRT,Class A common stock,F,12/26/2019
"3,125","19,581",1592386,"Virtu Financial, Inc.",D,,A,VIRT,Class A common stock,M,12/26/2019
"1,195","18,386",1592386,"Virtu Financial, Inc.",D,,D,VIRT,Class A common stock,F,12/26/2019
"273,440","555,540",1566610,"Verb Technology Company, Inc.",D,0,A,VERB,Common Stock,A,12/23/2019
"25,000","162,833",1566610,"Verb Technology Company, Inc.",D,0,A,VERB,Common Stock,A,12/23/2019
"19,618","3,920,364",1478988,"QUINSTREET, INC",I,15.52,D,QNST,Common Stock,S,12/24/2019
"23,687","3,896,677",1478988,"QUINSTREET, INC",I,15.65,D,QNST,Common Stock,S,12/26/2019
"4,905","3,891,772",1478988,"QUINSTREET, INC",I,15.52,D,QNST,Common Stock,S,12/27/2019
,"318,750",1478988,"QUINSTREET, INC",D,,,QNST,Common Stock,,
,"6,903",1478988,"QUINSTREET, INC",I,,,QNST,Common Stock,,
"50,000","3,353,015",1566610,"Verb Technology Company, Inc.",D,0,A,VERB,Common Stock,A,12/23/2019
,,1569434,PRESSURE BIOSCIENCES INC,12/19/2028,"13,018",,PBIO,Non-Qualified Stock Option,,3.4
,,1569434,PRESSURE BIOSCIENCES INC,12/19/2028,,"13,018",PBIO,Non-Qualified Stock Option,,0.69
,,1569434,PRESSURE BIOSCIENCES INC,12/19/2029,,"39,054",PBIO,Non-Qualified Stock Option,,0.69
125,"186,059",1361113,VARONIS SYSTEMS INC,D,21.66,A,VRNS,,M,12/26/2019
937,"186,996",1361113,VARONIS SYSTEMS INC,D,19.51,A,VRNS,,M,12/26/2019
500,"187,496",1361113,VARONIS SYSTEMS INC,D,29.88,A,VRNS,,M,12/26/2019
"1,493","186,003",1361113,VARONIS SYSTEMS INC,D,77.84,D,VRNS,,S,12/26/2019
"850,000",0,1393052,VEEVA SYSTEMS INC,I,0.00,A,VEEV,Class A Common Stock,C,12/23/2019
"850,000",0,1393052,VEEVA SYSTEMS INC,I,0.00,D,VEEV,Class A Common Stock,J,12/23/2019
"184,156",0,1393052,VEEVA SYSTEMS INC,I,0.00,D,VEEV,Class A Common Stock,J,12/23/2019
"52,685","634,479",1393052,VEEVA SYSTEMS INC,I,0.00,A,VEEV,Class A Common Stock,J,12/23/2019
,"812,000",1356232,INFINITE GROUP INC,D,,,IMCI,Common Stock,,
"2,044","77,996",1589641,MANNKIND CORP,D,1.31,D,MNKD,,F,12/27/2019
"7,500","7,500",1393052,VEEVA SYSTEMS INC,I,0.00,A,VEEV,Class A Common Stock,C,12/23/2019
"7,500",0,1393052,VEEVA SYSTEMS INC,I,0.00,D,VEEV,Class A Common Stock,G,12/23/2019
,"1,169",1393052,VEEVA SYSTEMS INC,D,,,VEEV,Class A Common Stock,,
,,1360527,PRESSURE BIOSCIENCES INC,12/19/2028,"26,685",,PBIO,Non-Qualified Stock Option,,3.4
,,1360527,PRESSURE BIOSCIENCES INC,12/19/2028,,"26,685",PBIO,Non-Qualified Stock Option,,0.69
,,1360527,PRESSURE BIOSCIENCES INC,12/19/2029,,"80,055",PBIO,Non-Qualified Stock Option,,0.69
"14,100,000","14,100,000",1705168,Rosehill Resources Inc.,I,0.00,A,ROSE,Class A Common Stock,C,12/26/2019
423,"94,608",1791338,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
"2,250","206,803",1258198,"Air Transport Services Group, Inc.",D,24.25,D,ATSG,Common Stock,S,12/27/2019
41,"315,419",97517,TEXAS PACIFIC LAND TRUST,D,785.22,A,TPL,Common Stock,P,12/26/2019
"2,500","27,004",1220474,CLEAN HARBORS INC,D,86.67,D,CLH,Common Stock,S,12/27/2019
"10,345","82,357",97216,TEREX CORP,D,30.29,D,TEX,,S,12/26/2019
,"8,506",97216,TEREX CORP,I,,,TEX,,,
"1,479","67,951",1027838,TACTILE SYSTEMS TECHNOLOGY INC,D,69.3047,D,TCMD,Common Stock,S,12/26/2019
500,"67,451",1027838,TACTILE SYSTEMS TECHNOLOGY INC,D,70.404,D,TCMD,Common Stock,S,12/26/2019
127,"67,324",1027838,TACTILE SYSTEMS TECHNOLOGY INC,D,71.0372,D,TCMD,Common Stock,S,12/26/2019
500,610,1786716,Principal Real Estate Income Fund,D,20.6,A,PGZ,Common Shares of Beneficial Interest,P,12/27/2019
,"77,304",835324,"Stock Yards Bancorp, Inc.",D,,,SYBT,Common Stock,,
,"2,250",835324,"Stock Yards Bancorp, Inc.",I,,,SYBT,Common Stock,,
55.758,"1,768.124",835324,"Stock Yards Bancorp, Inc.",I,41.25,A,SYBT,Common Stock,P,12/26/2019
,"31,492",835324,"Stock Yards Bancorp, Inc.",D,,,SYBT,Common Stock,,
61.212,"23,895.837",835324,"Stock Yards Bancorp, Inc.",I,41.25,A,SYBT,Common Stock,P,12/26/2019
,"7,027",1193421,"Stock Yards Bancorp, Inc.",I,,,SYBT,Common Stock,,
,"234,529",1193421,"Stock Yards Bancorp, Inc.",D,,,SYBT,Common Stock,,
129.697,"68,355.749",1193421,"Stock Yards Bancorp, Inc.",I,41.25,A,SYBT,Common Stock,P,12/26/2019
,"3,594",835324,"Stock Yards Bancorp, Inc.",D,,,SYBT,Common Stock,,
,200,835324,"Stock Yards Bancorp, Inc.",I,,,SYBT,Common Stock,,
105.455,"5,038.369",835324,"Stock Yards Bancorp, Inc.",I,41.25,A,SYBT,Common Stock,P,12/26/2019
,"4,746",835324,"Stock Yards Bancorp, Inc.",D,,,SYBT,Common Stock,,
,"3,987",835324,"Stock Yards Bancorp, Inc.",I,,,SYBT,Common Stock,,
37.576,"2,582.856",835324,"Stock Yards Bancorp, Inc.",I,41.25,A,SYBT,Common Stock,P,12/26/2019
,"3,619",835324,"Stock Yards Bancorp, Inc.",D,,,SYBT,Common Stock,,
150.909,"16,666.481",835324,"Stock Yards Bancorp, Inc.",I,41.25,A,SYBT,Common Stock,P,12/26/2019
75.152,"3,054.619",835324,"Stock Yards Bancorp, Inc.",I,41.25,A,SYBT,Common Stock,P,12/26/2019
,"8,394",835324,"Stock Yards Bancorp, Inc.",D,,,SYBT,Common Stock,,
,580,835324,"Stock Yards Bancorp, Inc.",I,,,SYBT,Common Stock,,
"11,600","36,600",1787403,BRAINSTORM CELL THERAPEUTICS INC.,D,3.9594,A,BCLI,Common Stock,P,12/24/2019
653,653,1403256,"Sculptor Capital Management, Inc.",D,,A,SCU,Class A Shares,M,12/26/2019
218,435,1403256,"Sculptor Capital Management, Inc.",D,21.54,D,SCU,Class A Shares,F,12/26/2019
"14,364","19,301",1750857,"Rimini Street, Inc.",D,1.05,A,RMNI,Common Stock,M,12/26/2019
"16,160","35,461",1750857,"Rimini Street, Inc.",D,0.85,A,RMNI,Common Stock,M,12/26/2019
"17,955","53,416",1750857,"Rimini Street, Inc.",D,1.19,A,RMNI,Common Stock,M,12/26/2019
"1,343","54,759",1750857,"Rimini Street, Inc.",D,1.02,A,RMNI,Common Stock,M,12/26/2019
"1,271","56,030",1750857,"Rimini Street, Inc.",D,0.85,A,RMNI,Common Stock,M,12/26/2019
"61,758","326,394",1492298,"Sabra Health Care REIT, Inc.",D,0,A,SBRA,Common Stock,A,12/24/2019
,"959,989",1492298,"Sabra Health Care REIT, Inc.",I,,,SBRA,Common Stock,,
"19,980","395,992",1492298,"Sabra Health Care REIT, Inc.",D,0,A,SBRA,Common Stock,A,12/24/2019
"19,980","401,163",1492298,"Sabra Health Care REIT, Inc.",D,0,A,SBRA,Common Stock,A,12/24/2019
"107,918","115,918",1746277,Bloom Energy Corp,D,0.00,A,BE,Class A common stock,C,12/26/2019
"67,812","183,730",1746277,Bloom Energy Corp,D,0.00,A,BE,Class A common stock,C,12/26/2019
"315,828","499,558",1746277,Bloom Energy Corp,D,0.00,A,BE,Class A common stock,C,12/26/2019
"491,558","8,000",1746277,Bloom Energy Corp,D,6.3667,D,BE,Class A common stock,S,12/27/2019
975,"24,590",1382101,"SUTRO BIOPHARMA, INC.",D,11.0792,D,STRO,Common Stock,S,12/26/2019
32,"22,579",1021762,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
"21,667","787,260",1050825,STEELCASE INC,D,21.4,D,NYSE: SCS,Class A Common Stock,S,12/23/2019
"30,000","338,952",1238937,INTUITIVE SURGICAL INC,D,0.0,D,ISRG,Common Stock,G,11/01/2019
"60,000","278,952",1238937,INTUITIVE SURGICAL INC,D,0.0,D,ISRG,Common Stock,G,11/26/2019
"30,000","290,861",1238937,INTUITIVE SURGICAL INC,I,0.0,A,ISRG,Common Stock,G,11/01/2019
84,"290,572",1238937,INTUITIVE SURGICAL INC,I,0.0,D,ISRG,Common Stock,G,11/13/2019
84,"290,656",1238937,INTUITIVE SURGICAL INC,I,0.0,A,ISRG,Common Stock,G,11/13/2019
"2,965","287,691",1238937,INTUITIVE SURGICAL INC,I,0.0,D,ISRG,Common Stock,G,11/13/2019
"60,000","347,691",1238937,INTUITIVE SURGICAL INC,I,0.0,A,ISRG,Common Stock,G,11/26/2019
"17,000","948,757",1366561,SMARTSHEET INC,D,1.38,A,SMAR,Class A Common Stock,M,12/26/2019
,"81,250",1366561,SMARTSHEET INC,I,,,SMAR,Class A Common Stock,,
,"81,250",1366561,SMARTSHEET INC,I,,,SMAR,Class A Common Stock,,
"1,100","464,041",1356576,"SUPERNUS PHARMACEUTICALS, INC.",D,0,D,SUPN,Common Stock,G,12/26/2019
"1,100","462,941",1356576,"SUPERNUS PHARMACEUTICALS, INC.",D,0,D,SUPN,Common Stock,G,12/26/2019
"1,100","461,841",1356576,"SUPERNUS PHARMACEUTICALS, INC.",D,0,D,SUPN,Common Stock,G,12/26/2019
"1,100","4,000",1356576,"SUPERNUS PHARMACEUTICALS, INC.",I,0,A,SUPN,Common Stock,G,12/26/2019
,"1,081,450",1356576,"SUPERNUS PHARMACEUTICALS, INC.",I,,,SUPN,Common Stock,,
0.5697,"1,649.2836",1246238,CENTURY BANCORP INC,D,152.98,A,CNBKA,401(k) Company Stock Fund,P,12/27/2019
,"3,111.1443",1246238,CENTURY BANCORP INC,D,,,CNBKA,Class A Common,,
,350,1246238,CENTURY BANCORP INC,I,,,CNBKA,Class A Common,,
,224,1246238,CENTURY BANCORP INC,I,,,CNBKA,Class A Common,,
,304,1246238,CENTURY BANCORP INC,I,,,CNBKA,Class A Common,,
,40.2885,1246238,CENTURY BANCORP INC,I,,,CNBKA,Class A Common,,
,72.282,1246238,CENTURY BANCORP INC,I,,,CNBKA,Class A Common,,
"10,000","50,193",1366561,SMARTSHEET INC,D,5.28,A,SMAR,Class A Common Stock,M,12/27/2019
"10,000","40,193",1366561,SMARTSHEET INC,D,44.28,D,SMAR,Class A Common Stock,S,12/27/2019
"1,813","194,770",1079218,"Investcorp Credit Management BDC, Inc.",D,7.0374,A,ICMB,,P,12/23/2019
"1,893","196,663",1079218,"Investcorp Credit Management BDC, Inc.",D,7.0107,A,ICMB,,P,12/24/2019
"1,998","198,661",1079218,"Investcorp Credit Management BDC, Inc.",D,6.9071,A,ICMB,,P,12/26/2019
"1,397","200,058",1079218,"Investcorp Credit Management BDC, Inc.",D,6.8742,A,ICMB,,P,12/27/2019
"30,000","178,032",4127,"SKYWORKS SOLUTIONS, INC.",D,84.89,A,SWKS,Common Stock,M,12/27/2019
"20,507","157,525",4127,"SKYWORKS SOLUTIONS, INC.",D,121.23,D,SWKS,Common Stock,S,12/27/2019
"9,493","148,032",4127,"SKYWORKS SOLUTIONS, INC.",D,122.04,D,SWKS,Common Stock,S,12/27/2019
,"20,377",4127,"SKYWORKS SOLUTIONS, INC.",I,,,SWKS,Common Stock,,
26,"9,690",1625949,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
69,"29,743",1186223,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
26,"19,932",1527237,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
,,1033775,PRESSURE BIOSCIENCES INC,12/19/2028,"108,167",,PBIO,Non-Qualified Stock Option,,3.4
,,1033775,PRESSURE BIOSCIENCES INC,12/19/2028,,"108,167",PBIO,Non-Qualified Stock Option,,0.69
,,1033775,PRESSURE BIOSCIENCES INC,12/19/2029,,"324,501",PBIO,Non-Qualified Stock Option,,0.69
"15,000","15,604,325",1588428,"EXP World Holdings, Inc.",D,11.96,D,EXPI,Common Stock,S,12/26/2019
"12,500","1,115,531",1202102,"EXELIXIS, INC.",D,0,D,EXEL,Common Stock,G,12/12/2019
"25,000","1,090,531",1202102,"EXELIXIS, INC.",D,18.25,D,EXEL,Common Stock,S,12/27/2019
,"8,963",1202102,"EXELIXIS, INC.",I,,,EXEL,Common Stock,,
,"8,963",1202102,"EXELIXIS, INC.",I,,,EXEL,Common Stock,,
